"FIPS","state_name","state","name","budg_NIH_cuts","econ_budg_NIH_cuts","jobs_budg_NIH_cuts"
"08025","Colorado","CO","Crowley County",14678.267258533,41111.8129203192,0.140911365681917
"08027","Colorado","CO","Custer County",7953.15291855834,22275.6902538603,0.07635026801816
"08029","Colorado","CO","Delta County",30520.8108808184,85484.604211659,0.292999784455857
"08031","Colorado","CO","Denver County",25792628.0291989,72241612.6905827,247.609229080309
"08033","Colorado","CO","Dolores County",3509.39538408906,9829.33502660043,0.033690195687255
"08035","Colorado","CO","Douglas County",5643098.9526364,15805546.0052185,54.1737499453094
"08037","Colorado","CO","Eagle County",277634.29455196,777615.571160115,2.66528922769882
"08039","Colorado","CO","Elbert County",369077.405863718,1033735.18111717,3.54314309629169
"08041","Colorado","CO","El Paso County",4629068.15939725,12965384.8654317,44.4390543302136
"08043","Colorado","CO","Fremont County",178219.515132652,499168.41244488,1.71090734527346
"08045","Colorado","CO","Garfield County",86688.9094341321,242803.742713615,0.832213530567668
"08047","Colorado","CO","Gilpin County",88151.3581134689,246899.860835153,0.846253037889302
"08049","Colorado","CO","Grand County",55822.8942574378,156352.268626829,0.535899784871403
"08051","Colorado","CO","Gunnison County",27520.7639587262,77081.8843510068,0.264199334003771
"08053","Colorado","CO","Hinsdale County",391.962821306772,1097.8340901864,0.00376284308454501
"08055","Colorado","CO","Huerfano County",2638.6599403294,7390.52450241355,0.0253311354271623
"08057","Colorado","CO","Jackson County",13989.4619653751,39182.5637894741,0.1342988348676
"08059","Colorado","CO","Jefferson County",9659784.86133401,27055732.1974654,92.7339346688064
"08061","Colorado","CO","Kiowa County",4127.68099175326,11561.0681927778,0.0396257375208313
"08063","Colorado","CO","Kit Carson County",4755.54845667038,13319.6388266121,0.0456532651840357
"08065","Colorado","CO","Lake County",17327.4286367455,48531.75050958,0.166343314912757
"08067","Colorado","CO","La Plata County",142364.919217158,398744.60807829,1.36670322448472
"08069","Colorado","CO","Larimer County",11526364.693784,32283766.2372405,110.653101060327
"08071","Colorado","CO","Las Animas County",19568.1470434668,54807.6953688542,0.187854211617281
"08073","Colorado","CO","Lincoln County",14332.1216662077,40142.3066029709,0.137588367995594
"08075","Colorado","CO","Logan County",297223.247310932,832481.540483819,2.85334317418494
"08077","Colorado","CO","Mesa County",108185.545946039,303012.872519441,1.03858124108198
"08079","Colorado","CO","Mineral County",3996.36350526752,11193.2659282135,0.0383650896505682
"08081","Colorado","CO","Moffat County",35933.9255346726,100645.995746897,0.344965685132857
"08083","Colorado","CO","Montezuma County",9582.83871795564,26840.2166058909,0.0919952516923741
"08085","Colorado","CO","Montrose County",47651.21977934,133464.529463066,0.457451709881664
"08087","Colorado","CO","Morgan County",120888.649329703,338592.522393513,1.16053103356515
"08089","Colorado","CO","Otero County",6513.07962633312,18242.242522004,0.062525564412798
"08091","Colorado","CO","Ouray County",1866.30165797602,5227.25491123532,0.0179164959165697
"08093","Colorado","CO","Park County",30426.7671496911,85221.2006223703,0.292096964637034
"08095","Colorado","CO","Phillips County",17026.5323242606,47688.9812174416,0.163454710312902
"08097","Colorado","CO","Pitkin County",61288.6120245984,171660.994265963,0.588370675436145
"08099","Colorado","CO","Prowers County",34712.9690262748,97226.2640665169,0.333244502652238
"08101","Colorado","CO","Pueblo County",276593.46721716,774700.356583559,2.65529728528474
"08103","Colorado","CO","Rio Blanco County",6696.90108851578,18757.1012196203,0.0642902504497515
"08105","Colorado","CO","Rio Grande County",13948.8295958927,39068.7580967962,0.13390876412057
"08107","Colorado","CO","Routt County",111579.196587958,312518.022401924,1.0711602872444
"08109","Colorado","CO","Saguache County",4984.55366933126,13961.0510106843,0.0478517152255801
"08111","Colorado","CO","San Juan County",2949.43926369213,8260.97475219791,0.0283146169314444
"08113","Colorado","CO","San Miguel County",7409.9800440195,20754.3375486593,0.0711358084225872
"08115","Colorado","CO","Sedgwick County",1764.66427974479,4942.58255816007,0.0169407770855499
"08117","Colorado","CO","Summit County",136100.24186203,381198.106240312,1.30656232187549
"08119","Colorado","CO","Teller County",96018.8250264911,268935.556342533,0.921780720254314
"08121","Colorado","CO","Washington County",29630.0035801566,82989.5751698915,0.284448034369503
"08123","Colorado","CO","Weld County",4463666.10090802,12502116.3906537,42.851194568717
"08125","Colorado","CO","Yuma County",1930.75722949672,5407.78612458348,0.0185352694031685
"09110","Connecticut","CT","Capitol Planning Region",25678622.7696534,58407437.8390287,195.157533049366
"09120","Connecticut","CT","Greater Bridgeport Planning Region",10538595.1078936,23970613.3851701,80.0933228199912
"09130","Connecticut","CT","Lower Connecticut River Valley Planning Region",6517858.18816472,14825226.4299287,49.5357222300518
"09140","Connecticut","CT","Naugatuck Valley Planning Region",15716437.5820528,35747900.4757822,119.444925623601
"09150","Connecticut","CT","Northeastern Connecticut Planning Region",2209752.88488953,5026204.30315009,16.7941219251604
"09160","Connecticut","CT","Northwest Hills Planning Region",2643586.17701687,6012981.95356108,20.0912549453282
"09170","Connecticut","CT","South Central Connecticut Planning Region",76196868.0469038,173313961.340547,579.096197156469
"09180","Connecticut","CT","Southeastern Connecticut Planning Region",4818897.77791424,10960847.6646491,36.6236231121482
"09190","Connecticut","CT","Western Connecticut Planning Region",10003399.3275976,22753281.1882778,76.0258348897414
"10001","Delaware","DE","Kent County",2100777.82315315,4942613.92502453,11.5542780273423
"10003","Delaware","DE","New Castle County",12787426.2082075,30085671.1953696,70.3308441451414
"10005","Delaware","DE","Sussex County",888683.165062903,2090853.08220838,4.88775740784596
"11001","District of Columbia","DC","District of Columbia",18656724.8602898,36770049.9673673,29.8507597764637
"12001","Florida","FL","Alachua County",35462556.2652704,113909566.165877,397.180630171029
"12003","Florida","FL","Baker County",123712.34733039,397377.439695958,1.38557829010037
"12005","Florida","FL","Bay County",177348.913255951,569663.890495092,1.98630782846665
"12007","Florida","FL","Bradford County",1146871.9414242,3683876.71543539,12.844965743951
"12009","Florida","FL","Brevard County",877378.613375474,2818234.99877517,9.82664046980531
"12011","Florida","FL","Broward County",8571638.38653091,27533029.5604415,96.0023499291462
"12013","Florida","FL","Calhoun County",54968.1404132516,176563.612069626,0.615643172628418
"12015","Florida","FL","Charlotte County",167928.924967301,539405.869296024,1.88080395963377
"12017","Florida","FL","Citrus County",229543.809232945,737319.541496064,2.57089066340899
"12019","Florida","FL","Clay County",1713253.31053781,5503154.9298305,19.1884370780235
